mass_A
t	x	y
2.764666667E2	-4.861356569E-6	5.151008672E-6
2.765000000E2	-4.750040198E-6	5.182118254E-6
2.765333333E2	-4.754648985E-6	5.187726973E-6
2.765666667E2	-4.757537724E-6	5.190544102E-6
2.766000000E2	-4.759046098E-6	5.192068972E-6
2.766333333E2	-4.712137015E-6	5.140764845E-6
2.766666667E2	-4.712596040E-6	5.143651091E-6
2.767000000E2	-4.713176705E-6	5.144710162E-6
2.767333333E2	-4.713306388E-6	5.145122180E-6
2.767666667E2	-4.700613200E-6	5.249191573E-6
2.768000000E2	-4.706292424E-6	5.247032560E-6
2.768333333E2	-4.709070718E-6	5.245529395E-6
2.768666667E2	-4.710714376E-6	5.244557487E-6
2.769000000E2	-4.626303904E-6	5.421775312E-6
2.769333333E2	-4.622780582E-6	5.427082760E-6
2.769666667E2	-4.621935973E-6	5.429335519E-6
2.770000000E2	-4.621496763E-6	5.430779386E-6
2.770333333E2	-4.492162076E-6	5.371147929E-6
2.770666667E2	-4.485364666E-6	5.378712520E-6
2.771000000E2	-4.481191629E-6	5.381638247E-6
2.771333333E2	-4.478167923E-6	5.383645720E-6
2.771666667E2	-4.467543015E-6	5.369569774E-6
2.772000000E2	-4.470165198E-6	5.376124111E-6
2.772333333E2	-4.471855230E-6	5.380738030E-6
2.772666667E2	-4.472359893E-6	5.383019712E-6
2.773000000E2	-4.471491895E-6	5.380097776E-6
2.773333333E2	-4.472043009E-6	5.382466820E-6
2.773666667E2	-4.472391265E-6	5.384131620E-6
2.774000000E2	-4.472719921E-6	5.385021512E-6
2.774333333E2	-4.632035947E-6	5.312056052E-6
2.774666667E2	-4.626786185E-6	5.303893212E-6
2.775000000E2	-4.623523595E-6	5.299391937E-6
2.775333333E2	-4.621088710E-6	5.296398441E-6
2.775666667E2	-4.486282938E-6	5.475797808E-6
2.776000000E2	-4.481267281E-6	5.478507001E-6
2.776333333E2	-4.477891904E-6	5.480410567E-6
2.776666667E2	-4.476778293E-6	5.480982578E-6
2.777000000E2	-4.431996270E-6	5.539326062E-6
2.777333333E2	-4.429523376E-6	5.535891229E-6
2.777666667E2	-4.429075291E-6	5.534520567E-6
